websites,country,category,cmp,smp,,,,,,,,,,,
corriere.it,italy,News,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,fraenkische-rezepte.de,Restaurants & Dining
cosmopolitan.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,free-fonts.com,Computers & Technology
costanachrichten.com,spain,n/a,Traffective GmbH,freechoice,,,,,,,,,,freenet.de,Search Engines & Portals
das-pta-magazin.de,germany,n/a,OneTrust LLC,contentpass,,,,,,,,,,funandnews.de,News
dasgelbeblatt.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,funkschau.de,Computers & Technology
datacenter-insider.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,fussballfieber.de,Shopping
decine21.com,spain,Entertainment,Traffective GmbH,freechoice,,,,,,,,,,gabler-banklexikon.de,Education
deichstube.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,gala.de,Fashion & Beauty
der-maschinenbau.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,gala.fr,Entertainment
derbyderbyderby.it,italy,Sports,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,gamestar.de,Games
derstandard.at,austria,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,gamona.de,Games
derstandard.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,gartendialog.de,Computers & Technology
derwesten.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,gartenjournal.net,Personal Sites
desired.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,gartenlexikon.de,Health & Medicine
deutsche-apotheker-zeitung.de,germany,n/a,consentmanager.net,n/a,,,,,,,,,,gastromand.dk,Restaurants & Dining
deutsche-startups.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,gazzetta.it,News
deutschland-in-zahlen.de,germany,n/a,Traffective GmbH,n/a,,,,,,,,,,geb-info.de,Business
dev-insider.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,gentside.com,Leisure & Recreation
devicemed.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,geo.de,Leisure & Recreation
dhf-magazin.com,germany,Travel,consentmanager.net,contentpass,,,,,,,,,,geo.fr,Leisure & Recreation
diariodelviajero.com,spain,Travel,Didomi,contentpass,,,,,,,,,,gesund-verlieben.de,Business
dieblaue24.com,germany,Business,Traffective GmbH,freechoice,,,,,,,,,,gesundheitsfrage.net,Health & Medicine
dieharke.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,gifhorner-rundschau.de,News
diestandard.at,austria,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,giga.de,Computers & Technology
digital-engineering-magazin.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,glaswelt.de,Business
digital-health-industry.de,germany,Health & Medicine,consentmanager.net,contentpass,,,,,,,,,,gnz.de,News
