websites,country,category,cmp,smp,,,,,,,,,,,
onlineuebung.de,germany,Education,Traffective GmbH,freechoice,,,,,,,,,,,
op-marburg.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
op-online.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
ostsee-zeitung.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
otempo.pt,spain,News,Didomi,n/a,,,,,,,,,,,
outside-stories.de,germany,Personal Sites,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
ovb-online.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
over-blog.com,france,Personal Sites,Didomi,n/a,,,,,,,,,,,
paradisi.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
paz-online.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
pcgames.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
pcgameshardware.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
pcwelt.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
perfect-machines.com,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
personalwirtschaft.de,germany,Shopping,n/a,n/a,,,,,,,,,,,
photovoltaik.eu,germany,Business,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
pianetamilan.it,italy,Sports,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,,
plantopedia.de,germany,Education,consentmanager.net,contentpass,,,,,,,,,,,
pnp.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
podiumpodcast.com,spain,Streaming Media & Downloads,Didomi,contentpass,,,,,,,,,,,
prad.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
presse-augsburg.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
prisma.de,germany,n/a,OneTrust LLC,contentpass,,,,,,,,,,,
process-worldwide.com,germany,Health & Medicine,consentmanager.net,contentpass,,,,,,,,,,,
process.vogel.de,germany,Health & Medicine,consentmanager.net,contentpass,,,,,,,,,,,
profi-werkstatt.net,germany,News,consentmanager.net,contentpass,,,,,,,,,,,
programme-tv.net,france,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
programme.tv,united states,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
promietrecht.de,germany,Education,Traffective GmbH,n/a,,,,,,,,,,,
promiflash.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
promipool.de,germany,Entertainment,Traffective GmbH,freechoice,,,,,,,,,,,
promobil.de,germany,General,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
psd-tutorials.de,germany,Computers & Technology,Traffective GmbH,freechoice,,,,,,,,,,,
psychisch-erkrankt.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
purebreak.com,france,n/a,Didomi,n/a,,,,,,,,,,,
purepeople.com,france,Leisure & Recreation,Didomi,n/a,,,,,,,,,,,
pymesyautonomos.com,spain,n/a,Didomi,contentpass,,,,,,,,,,,
quizshow-trainingslager.de,germany,Games,Traffective GmbH,freechoice,,,,,,,,,,,
qz-online.de,germany,n/a,OneTrust LLC,contentpass,,,,,,,,,,,
r-energy.eu,germany,Personal Sites,consentmanager.net,contentpass,,,,,,,,,,,
radiobielefeld.de,germany,Entertainment,Usercentrics.com,contentpass,,,,,,,,,,,
radioguetersloh.de,germany,Entertainment,Usercentrics.com,contentpass,,,,,,,,,,,
radioherford.de,germany,Entertainment,Usercentrics.com,contentpass,,,,,,,,,,,
radiohochstift.de,germany,Entertainment,Usercentrics.com,contentpass,,,,,,,,,,,
radiole.com,spain,n/a,Didomi,contentpass,,,,,,,,,,,
radiolippe.de,germany,Streaming Media & Downloads,Usercentrics.com,contentpass,,,,,,,,,,,
radiowaf.de,germany,News,Usercentrics.com,contentpass,,,,,,,,,,,
radiowestfalica.de,germany,Entertainment,Usercentrics.com,contentpass,,,,,,,,,,,
radsport-news.com,germany,Sports,consentmanager.net,contentpass,,,,,,,,,,,
raetseldino.de,germany,n/a,consentmanager.net,n/a,,,,,,,,,,,
raspberry-pi-geek.de,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
ratgeber-darmgesundheit.de,germany,Health & Medicine,Traffective GmbH,freechoice,,,,,,,,,,,
ratgeber-hautgesundheit.de,germany,Business,Traffective GmbH,freechoice,,,,,,,,,,,
ratgeber-herz-kreislauf.de,germany,Computers & Technology,Traffective GmbH,freechoice,,,,,,,,,,,
ratgeber-maennerurologie.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
ratgeber-nerven.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
ratgeber-schmerzen.de,germany,Business,Traffective GmbH,freechoice,,,,,,,,,,,
rechneronline.de,germany,Education,Traffective GmbH,freechoice,,,,,,,,,,,
regionalheute.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
reihenfolge.de,germany,Entertainment,Traffective GmbH,freechoice,,,,,,,,,,,
reisefrage.net,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
rekordtiere.de,germany,Business,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
relevo.com,spain,Sports,Didomi,contentpass,,,,,,,,,,,
rennrad-news.de,germany,Sports,OneTrust LLC,contentpass,,,,,,,,,,,
repubblica.it,italy,News,iubenda,n/a,,,,,,,,,,,
retinatendencias.com,spain,News,Didomi,contentpass,,,,,,,,,,,
rheinpfalz.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
rnd.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
rnz.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
robotik-produktion.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,,
rosenheim24.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
rostock-heute.de,germany,Entertainment,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
rp-online.de,germany,News,OneTrust LLC,n/a,,,,,,,,,,,
ruhr-guide.de,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
runnersworld.de,germany,Sports,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
saechsische.de,germany,News,Didomi,contentpass,,,,,,,,,,,
salamancahoy.es,eu #country is really world wide,Fashion & Beauty,Didomi,contentpass,,,,,,,,,,,
sauerlandkurier.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
sbz-monteur.de,germany,Education,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
sbz-online.de,germany,Business,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
schaltschrankbau-magazin.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
schifffahrtundtechnik.de,germany,Business,Usercentrics.com,contentpass,,,,,,,,,,,
schlager.de,germany,Entertainment,consentmanager.net,contentpass,,,,,,,,,,,
schnelle-online.info,germany,Education,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
schnittmuster-datenbank.de,germany,Leisure & Recreation,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
schoener-wohnen.de,germany,Shopping,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
schuettgut.vogel.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,,
schulferien.org,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
sciencesetavenir.fr,france,News,Didomi,n/a,,,,,,,,,,,
security-insider.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,,
selbst.de,germany,Personal Sites,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
selbstversorger.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
selfies.com,united kingdom,n/a,consentmanager.net,contentpass,,,,,,,,,,,
service-and-maintenance.com,germany,Business,consentmanager.net,contentpass,,,,,,,,,,,
siegener-zeitung.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
smart-rechner.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
smartissimo.de,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
sn-online.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
sodbrennen.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
soester-anzeiger.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
solidbau.at,austria,Business,consentmanager.net,contentpass,,,,,,,,,,,
sorglos-schlafen.de,germany,Health & Medicine,Traffective GmbH,freechoice,,,,,,,,,,,
soundground.de,germany,Personal Sites,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
sozialhilferechner24.de,germany,Finance,Traffective GmbH,freechoice,,,,,,,,,,,
spiegel.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
spielaffe.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
spielfilm.de,germany,Entertainment,consentmanager.net,contentpass,,,,,,,,,,,
sport1.de,germany,Sports,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
sportlerfrage.net,germany,Sports,consentmanager.net,contentpass,,,,,,,,,,,
sportnews.bz,italy,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
sportplatzwelt.de,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
springermedicine.com,germany,n/a,OneTrust LLC,contentpass,,,,,,,,,,,
springermedizin.at,austria,Health & Medicine,OneTrust LLC,contentpass,,,,,,,,,,,
springermedizin.de,germany,Health & Medicine,OneTrust LLC,contentpass,,,,,,,,,,,
springerpflege.de,germany,Health & Medicine,OneTrust LLC,contentpass,,,,,,,,,,,
springerprofessional.de,germany,Business,OneTrust LLC,contentpass,,,,,,,,,,,
sprit-plus.de,germany,Computers & Technology,Usercentrics.com,contentpass,,,,,,,,,,,
spruechekosmos.de,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
sps-magazin.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,,
st-georg.de,germany,n/a,Traffective GmbH,n/a,,,,,,,,,,,
stadionwelt.de,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
stadtbranchenbuch.com,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
staedte-info.net,germany,n/a,Usercentrics.com,contentpass,,,,,,,,,,,
stark-gegen-schwitzen.de,germany,Health & Medicine,Traffective GmbH,freechoice,,,,,,,,,,,
stern.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
stimme.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,,
stol.it,italy,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
storage-insider.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,,
studis-online.de,germany,Education,consentmanager.net,contentpass,,,,,,,,,,,
stylebook.de,germany,n/a,Axel Springer Deutschland GmbH,n/a,,,,,,,,,,,
stylevamp.com,germany,Fashion & Beauty,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
stylevamp.de,germany,Business,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
sudoku-aktuell.de,germany,Leisure & Recreation,consentmanager.net,contentpass,,,,,,,,,,,
sudoku-topical.com,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
sudokuzok.de,germany,Unknown,consentmanager.net,n/a,,,,,,,,,,,
sudouest.fr,france,News,Didomi,n/a,,,,,,,,,,,
sueddeutsche.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
suedwest24.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
supermadame.org,france,Personal Sites,Didomi,n/a,,,,,,,,,,,
surinenglish.com,spain,News,Didomi,contentpass,,,,,,,,,,,
swp.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
synonyme.woxikon.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
t-online.de,germany,Search Engines & Portals,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
t3n.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
tageblatt.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,,
tagesspiegel.de,germany,News,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
talu.de,germany,Leisure & Recreation,consentmanager.net,contentpass,,,,,,,,,,,
tarnkappe.info,iceland,News,Traffective GmbH,freechoice,,,,,,,,,,,
techbook.de,germany,Computers & Technology,Axel Springer Deutschland GmbH,n/a,,,,,,,,,,,
techniker-forum.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
tellows.de,germany,Search Engines & Portals,InMobi PTE Ltd,n/a,,,,,,,,,,,
teltarif.de,germany,n/a,consentmanager.net,n/a,,,,,,,,,,,
terrafemina.com,france,News,Didomi,n/a,,,,,,,,,,,
teslamag.de,germany,Transportation,consentmanager.net,contentpass,,,,,,,,,,,
tga.at,austria,Business,consentmanager.net,contentpass,,,,,,,,,,,
thueringen24.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,,
tierchenwelt.de,germany,Leisure & Recreation,consentmanager.net,contentpass,,,,,,,,,,,
tierfans.net,germany,Shopping,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
todoalicante.es,spain,Shopping,Didomi,contentpass,,,,,,,,,,,
tomaten.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
topesdegama.com,spain,n/a,Didomi,n/a,,,,,,,,,,,
topgear.es,eu #country is really world wide,Transportation,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
torgranate.de,germany,Sports,Traffective GmbH,freechoice,,,,,,,,,,,
traktuell.at,austria,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,,
transfermarkt.at,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.be,germany,Sports,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
transfermarkt.ch,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.co,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.co.id,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.co.in,germany,Transportation,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.co.kr,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.co.uk,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.co.za,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.com,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.com.ar,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.com.br,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
transfermarkt.com.tr,hidden upon user request,Sports,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
transfermarkt.de,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.es,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.fr,hong kong,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.gr,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.it,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.jp,germany,Sports,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
transfermarkt.mx,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.nl,germany,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
transfermarkt.pe,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.pl,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
transfermarkt.pt,germany,Sports,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
transfermarkt.ro,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.tv,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.us,germany,Sports,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
transfermarkt.world,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
transferxl.com,netherlands,Personal Storage,n/a,n/a,,,,,,,,,,,
trauer.infranken.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,,
trauer.kreiszeitung.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
trauer.mainpost.de,germany,News,Usercentrics.com,n/a,,,,,,,,,,,
traum-deutung.de,germany,Education,Traffective GmbH,freechoice,,,,,,,,,,,
travelbook.de,germany,n/a,Axel Springer Deutschland GmbH,n/a,,,,,,,,,,,
trickytine.com,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
trucker.de,germany,Forums & Newsgroups,Usercentrics.com,contentpass,,,,,,,,,,,
tuttobolognaweb.it,italy,Sports,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,,
tv.sport1.de,germany,Sports,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
tvdigital.de,germany,Entertainment,consentmanager.net,contentpass,,,,,,,,,,,
tvdirekt.de,germany,Entertainment,consentmanager.net,contentpass,,,,,,,,,,,
tvmovie.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
twitterperlen.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
tz.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
unnuetzes.com,germany,Entertainment,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
unsere-helden.com,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
unterwegs-auf-der-autobahn.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,,
urbia.de,germany,Health & Medicine,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
usinger-anzeiger.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
utopia.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
uwz.at,austria,n/a,consentmanager.net,contentpass,,,,,,,,,,,
vamosmisevillafc.com,spain,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
verkehrsrundschau.de,germany,News,Usercentrics.com,contentpass,,,,,,,,,,,
versicherungsbote.de,germany,Finance,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
versicherungsmagazin.de,germany,Finance,OneTrust LLC,contentpass,,,,,,,,,,,
vienna.at,austria,News,OneTrust LLC,n/a,,,,,,,,,,,
violanews.com,italy,n/a,RCS MediaGroup S.p.A.,n/a,,,,,,,,,,,
vision-mobility.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,,
vital-und-gesund.de,germany,Sports,Traffective GmbH,freechoice,,,,,,,,,,,
voici.fr,france,n/a,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
vol.at,austria,News,OneTrust LLC,n/a,,,,,,,,,,,
volksfest-freising.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
volksstimme.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
vorname.com,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
wa.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
wachtel-wissen.de,germany,Business,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
wachteln.net,germany,n/a,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
wahrheitskugel.de,germany,Games,"Sourcepoint Technologies, Inc.",contentpass,,,,,,,,,,,
waller-fangen.de,germany,Personal Sites,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
wallstreet-online.de,germany,Finance,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
wasserburg24.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
waste-management-world.com,austria,Business,consentmanager.net,contentpass,,,,,,,,,,,
waz-online.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
waz.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,,
we-go-wild.com,austria,General,consentmanager.net,contentpass,,,,,,,,,,,
web.de,germany,Search Engines & Portals,1&1 Mail & Media GmbH,n/a,,,,,,,,,,,
welife.es,eu #country is really world wide,Health & Medicine,Didomi,contentpass,,,,,,,,,,,
welt.de,germany,News,Axel Springer Deutschland GmbH,n/a,,,,,,,,,,,
weltderwunder.de,germany,Personal Sites,Traffective GmbH,freechoice,,,,,,,,,,,
wer-weiss-was.de,germany,Education,consentmanager.net,contentpass,,,,,,,,,,,
werkstatt-betrieb.de,germany,Business,OneTrust LLC,contentpass,,,,,,,,,,,
werra-rundschau.de,germany,Leisure & Recreation,Traffective GmbH,freechoice,,,,,,,,,,,
werstreamt.es,eu #country is really world wide,Entertainment,consentmanager.net,contentpass,,,,,,,,,,,
wetter.com,germany,News,wetter.com GmbH,contentpass,,,,,,,,,,,
wetterauer-zeitung.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
wetternrw.org,germany,Business,Papoo Software & Media GmbH,contentpass,,,,,,,,,,,
wetteronline.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
wetterprognose-wettervorhersage.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
wiesbadener-kurier.de,germany,n/a,consentmanager.net,n/a,,,,,,,,,,,
winfuture.de,germany,Computers & Technology,consentmanager.net,contentpass,,,,,,,,,,,
wir-in-der-praxis.de,germany,Computers & Technology,OneTrust LLC,contentpass,,,,,,,,,,,
wirtschaftslexikon.gabler.de,germany,Business,OneTrust LLC,contentpass,,,,,,,,,,,
wlz-online.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
wmn.de,germany,Business,consentmanager.net,contentpass,,,,,,,,,,,
wochenblatt.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
wohngeldrechner24.de,germany,Health & Medicine,Traffective GmbH,freechoice,,,,,,,,,,,
wohnmobilforum.de,germany,Sports,n/a,n/a,,,,,,,,,,,
womenshealth.de,germany,Health & Medicine,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
wormser-zeitung.de,germany,Search Engines & Portals,consentmanager.net,n/a,,,,,,,,,,,
wort-suchen.de,germany,Games,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
wp.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
wr.de,germany,News,consentmanager.net,contentpass,,,,,,,,,,,
wrestling-infos.de,germany,News,Traffective GmbH,freechoice,,,,,,,,,,,
wunderbunt.de,germany,n/a,consentmanager.net,contentpass,,,,,,,,,,,
wunderweib.de,germany,Leisure & Recreation,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
wunschliste.de,germany,Entertainment,consentmanager.net,contentpass,,,,,,,,,,,
zecken-und-insektenstiche.de,germany,Computers & Technology,Traffective GmbH,freechoice,,,,,,,,,,,
zeit.de,germany,News,"Sourcepoint Technologies, Inc.",n/a,,,,,,,,,,,
zinseszinsrechner24.de,germany,n/a,Traffective GmbH,freechoice,,,,,,,,,,,
