websites,country,category,cmp,smp
gmx.net,germany,Search Engines & Portals,1&1 Mail & Media GmbH,n/a
gnz.de,germany,News,"Sourcepoint Technologies, Inc.",n/a
goettinger-tageblatt.de,germany,News,"Sourcepoint Technologies, Inc.",n/a
golem.de,germany,News,"Sourcepoint Technologies, Inc.",n/a
golfnstyle.de,germany,Computers & Technology,consentmanager.net,n/a
goslarsche.de,germany,News,consentmanager.net,contentpass
gpsradler.de,germany,Computers & Technology,devowl.io GmbH,n/a
gutefrage.net,germany,Forums & Newsgroups,consentmanager.net,contentpass
gutekueche.at,austria,Search Engines & Portals,"Sourcepoint Technologies, Inc.",contentpass
gutekueche.de,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",contentpass
habe-ich-selbstgemacht.de,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",contentpass
hacerfamilia.com,spain,Leisure & Recreation,Traffective GmbH,freechoice
haemorrhoiden-wissen.de,germany,Health & Medicine,Traffective GmbH,freechoice
hallo-eltern.de,germany,n/a,Traffective GmbH,freechoice
hallo-muenchen.de,germany,News,Traffective GmbH,freechoice
haltbarkeit.net,switzerland,n/a,"Sourcepoint Technologies, Inc.",contentpass
hanauer.de,germany,News,Traffective GmbH,freechoice
hanser-automotive.de,germany,Business,OneTrust LLC,contentpass
harpersbazaar.de,germany,n/a,"Sourcepoint Technologies, Inc.",contentpass
hartz4rechner24.de,germany,Computers & Technology,Traffective GmbH,freechoice
harzkurier.de,germany,News,consentmanager.net,contentpass
haus-garten-test.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass
hausbau-forum.de,germany,Personal Sites,consentmanager.net,n/a
hausgarten.net,germany,Leisure & Recreation,consentmanager.net,contentpass
haz.de,germany,News,"Sourcepoint Technologies, Inc.",n/a
hbold.dk,denmark,n/a,"Sourcepoint Technologies, Inc.",n/a
healthcare-digital.de,germany,Health & Medicine,consentmanager.net,contentpass
heftig.de,germany,Streaming Media & Downloads,consentmanager.net,contentpass
heidelberg24.de,germany,Business,Traffective GmbH,freechoice
heilpraxisnet.de,germany,n/a,consentmanager.net,contentpass
heimatsport.de,germany,Sports,Traffective GmbH,freechoice
heise.de,germany,n/a,"Sourcepoint Technologies, Inc.",n/a
hersfelder-zeitung.de,germany,News,Traffective GmbH,freechoice
hildesheimer-allgemeine.de,germany,News,consentmanager.net,contentpass
himmlisch-plaudern.at,austria,Religion,consentmanager.net,contentpass
himmlisch-plaudern.ch,germany,n/a,consentmanager.net,contentpass
himmlisch-plaudern.de,germany,Religion,consentmanager.net,contentpass
hlk.co.at,austria,n/a,consentmanager.net,contentpass
hna.de,germany,News,Traffective GmbH,freechoice
hob-magazin.com,germany,Shopping,consentmanager.net,contentpass
hobbyconsolas.com,spain,Leisure & Recreation,"Sourcepoint Technologies, Inc.",contentpass
hochzeit.net,germany,Computers & Technology,Traffective GmbH,n/a
hochzeitsforum.org,germany,n/a,Traffective GmbH,freechoice
hockeymagasinet.dk,denmark,n/a,"Sourcepoint Technologies, Inc.",n/a
hoerzu.de,germany,n/a,consentmanager.net,contentpass
hola.com,spain,Entertainment,"Sourcepoint Technologies, Inc.",n/a
honeymoments.de,germany,Business,Traffective GmbH,freechoice
hortica.de,germany,n/a,consentmanager.net,contentpass
huehner-haltung.de,germany,n/a,Papoo Software & Media GmbH,contentpass
huehner-hof.com,germany,Computers & Technology,Papoo Software & Media GmbH,contentpass
huehner-ratgeber.de,germany,Personal Sites,Papoo Software & Media GmbH,contentpass
huehnerhaltung.org,germany,n/a,Papoo Software & Media GmbH,contentpass
huelva24.com,spain,Business,Didomi,contentpass
huffingtonpost.es,united states,News,Didomi,contentpass
huffingtonpost.fr,france,News,Société Éditrice du Monde,n/a
huffingtonpost.it,italy,n/a,iubenda,n/a
iban-rechner.de,germany,Finance,"Sourcepoint Technologies, Inc.",contentpass
ibancalculator.com,iceland,Finance,"Sourcepoint Technologies, Inc.",contentpass
ich-lebe-vegan.de,germany,n/a,Traffective GmbH,freechoice
ihr-wellness-magazin.de,germany,n/a,Traffective GmbH,freechoice
ilclubdellericette.it,italy,n/a,iubenda,n/a
ilmilanista.it,italy,Sports,RCS MediaGroup S.p.A.,n/a
ilsecoloxix.it,italy,News,iubenda,n/a
ilsole24ore.com,italy,News,OneTrust LLC,n/a
immo.infranken.de,germany,News,consentmanager.net,contentpass
immomorgen.de,germany,Real Estate,consentmanager.net,contentpass
impulse.de,germany,Business,"Sourcepoint Technologies, Inc.",n/a
ind-ai.net,germany,Business,consentmanager.net,contentpass
industrial-communication-journal.net,germany,Shopping,consentmanager.net,contentpass
industrial-production.de,germany,News,consentmanager.net,n/a
industriemagazin.at,austria,News,consentmanager.net,contentpass
industry-of-things.de,germany,Business,consentmanager.net,contentpass
inflationsrechner24.de,germany,n/a,Traffective GmbH,freechoice
infranken.de,germany,News,consentmanager.net,contentpass
ingame.de,germany,Games,Traffective GmbH,freechoice
ingolstadt-today.de,germany,News,Traffective GmbH,freechoice
innsalzach24.de,germany,Entertainment,Traffective GmbH,freechoice
inrlp.de,germany,Personal Sites,consentmanager.net,contentpass
inside-digital.de,germany,Computers & Technology,"Sourcepoint Technologies, Inc.",contentpass
insidebw.de,germany,Unknown,Papoo Software & Media GmbH,contentpass
insideevs.de,germany,n/a,OneTrust LLC,contentpass
instyle.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",contentpass
invdays.com,germany,Business,consentmanager.net,contentpass
invision-news.com,germany,Business,consentmanager.net,contentpass
invision-news.de,germany,News,consentmanager.net,contentpass
iodonna.it,italy,News,RCS MediaGroup S.p.A.,n/a
iot-design.de,germany,n/a,consentmanager.net,contentpass
ip-insider.de,germany,Computers & Technology,consentmanager.net,contentpass
iphone-tricks.com,germany,Computers & Technology,Traffective GmbH,n/a
iphone-tricks.de,germany,Computers & Technology,Traffective GmbH,freechoice
it-business.de,germany,Computers & Technology,consentmanager.net,contentpass
it-daily.net,germany,n/a,OneTrust LLC,contentpass
itasportpress.it,italy,Sports,RCS MediaGroup S.p.A.,n/a
itsintv.de,germany,Entertainment,Traffective GmbH,freechoice
jeuxvideo.com,france,Forums & Newsgroups,Didomi,n/a
jornadaperfecta.com,spain,Sports,Traffective GmbH,freechoice
juraforum.de,germany,n/a,consentmanager.net,contentpass
juvenews.eu,italy,Sports,RCS MediaGroup S.p.A.,n/a
jux.news,germany,Instant Messaging,Traffective GmbH,freechoice
kalender-365.de,germany,n/a,Traffective GmbH,freechoice
kalender-oesterreich.at,austria,n/a,Papoo Software & Media GmbH,contentpass
kalender-online.com,germany,Parked Domains,Papoo Software & Media GmbH,contentpass
kaninchen-haltung.com,germany,Shopping,Papoo Software & Media GmbH,contentpass
kartenlegen-sofort.de,germany,n/a,Papoo Software & Media GmbH,contentpass
kem.industrie.de,germany,n/a,consentmanager.net,contentpass
kicker.de,germany,n/a,Usercentrics.com,n/a
kinderzuschlagrechner24.de,germany,Finance,Traffective GmbH,freechoice
kino.de,germany,Entertainment,"Sourcepoint Technologies, Inc.",n/a
klack.de,germany,Entertainment,consentmanager.net,contentpass
kn-online.de,germany,News,"Sourcepoint Technologies, Inc.",n/a
korrekturen.de,germany,Education,"Sourcepoint Technologies, Inc.",contentpass
kreis-anzeiger.de,germany,News,Traffective GmbH,freechoice
kreisbote.de,germany,News,Traffective GmbH,freechoice
kreiszeitung.de,germany,News,Traffective GmbH,freechoice
kreuzwortraetsel.de,germany,Games,"Sourcepoint Technologies, Inc.",n/a
krone.at,austria,News,Didomi,n/a
ksta.de,germany,News,"Sourcepoint Technologies, Inc.",n/a
kuechengoetter.de,germany,Restaurants & Dining,consentmanager.net,n/a
kundendienst-info.de,germany,Business,Traffective GmbH,freechoice
kunststoff-magazin.de,germany,Business,consentmanager.net,n/a
kunststoffe.de,germany,Business,OneTrust LLC,contentpass
kurier.at,austria,News,Didomi,n/a
kurierverlag.de,germany,Shopping,Traffective GmbH,freechoice
lab-worldwide.com,germany,Business,consentmanager.net,contentpass
labo.de,germany,Business,consentmanager.net,n/a
laborpraxis.vogel.de,germany,Business,consentmanager.net,contentpass
lachainemeteo.com,france,News,AppConsent by SFBX®,n/a
lagacetadesalamanca.es,eu #country is really world wide,News,Didomi,contentpass
landeszeitung.de,germany,News,"Sourcepoint Technologies, Inc.",n/a
landtiere.de,germany,Leisure & Recreation,Traffective GmbH,freechoice
lastampa.it,italy,News,iubenda,n/a
lauterbacher-anzeiger.de,germany,n/a,Traffective GmbH,freechoice
lavanguardia.com,spain,News,Didomi,n/a
lavozdigital.es,eu #country is really world wide,News,Didomi,contentpass
le10sport.com,france,Sports,Didomi,n/a
lebenindeutschland.eu,antigua and barbuda,Government,Traffective GmbH,freechoice
leblogtvnews.com,france,Personal Sites,Didomi,n/a
lecker.de,germany,Restaurants & Dining,"Sourcepoint Technologies, Inc.",n/a
leckerschmecker.me,germany,n/a,consentmanager.net,contentpass
leinetal24.de,germany,News,Traffective GmbH,freechoice
leistungselektronik.de,germany,Health & Medicine,consentmanager.net,contentpass
lemonde.fr,france,News,Société Éditrice du Monde,n/a
leo.org,germany,n/a,OneTrust LLC,n/a
leonoticias.com,spain,News,Didomi,contentpass
lepoint.fr,france,News,"Sourcepoint Technologies, Inc.",n/a
lequipe.fr,france,Sports,Didomi,n/a
lernhelfer.de,germany,Education,"Sourcepoint Technologies, Inc.",contentpass
lezappingdupaf.com,france,Entertainment,Didomi,n/a
